SITECODE,annual_cost_site,EVI score difference,Year,cost_per_evi
IE0000163,145372.1733113253,0.043980816594228866,2018,16526770.597797511
IE0000638,75616.50051293174,0.011284551640212137,2017,40205319.40860181
IE0001190,6906.993906579921,0.0053227730401161355,2019,5190522.950743149
IE0001818,78561.07029953487,0.023765850010963263,2017,19833770.79211416
IE0002171,23591.824775813948,0.00956013793503463,2019,9870913.970543455
IE0000532,33239.50703807229,0.038045498931863264,2016,6115744.458581367
IE0000668,66749.25397076306,0.015970367593556967,2017,25077414.247255836
IE0001432,4273.168333654618,0.039238953064850035,2018,544505.9054700533
IE0001899,4025.0062195348837,0.0847934803425609,2017,284810.0728929218
IE0002280,4362.8717051162785,0.013469220793766001,2016,2267399.3101329897
IE0000116,34168.4566758233,0.05569879139717493,2016,4294154.159023536
IE0000471,51311.79999068273,0.0417534804457772,2016,8602458.911209295
IE0000719,66664.80400369478,0.07290261053646896,2019,3657745.77964372
IE0001312,4744.806601860465,0.02188076640903097,2019,867393.1274915698
IE0002241,82771.05286284236,0.010882833030671502,2018,38028265.53966488
IE0001371,22835.271095261047,0.06194963407936038,2016,2580271.8618491916
IE0001430,13317.629155358138,0.12331789176298258,2016,755960.0862029224
IE0001898,13470.550012093021,0.03729665507781699,2019,1444692.5585136379
IE0002287,99103.5564540257,0.005658976117309103,2018,87563151.35426864
